Study GUID,Reference,,,,,,,
CG87ST46,"Woehl A, Evans M, Tetlow AP et al. (2008) Evaluation of the cost effectiveness of exenatide versus insulin glargine in patients with sub- optimally controlled Type 2 diabetes in the United Kingdom. Cardiovascular Diabetology 7: 24",,,,,,,
CG87ST47,"Yurgin N, Secnik K, Hayes C et al. (2006) Patient reported outcomes in a trial of exenatide and insulin glargine for the treatment of type 2 diabetes. Diabetologia 49: 474-5",,,,,,,
CG87ST48,"Zinman B, Hoogwerf BJ, Duran GS et al. (2007) The effect of adding exenatide to a thiazolidinedione in suboptimally controlled type 2 diabetes: a randomized trial. Annals of Internal Medicine 146: 477-85",,,,,,,
CG173ST1,"Agrawal RP, Goswami J, Jain S et al. (2009) Management of diabetic 
neuropathy by sodium valproate and glyceryl trinitrate spray: a prospective 
double-blind randomized placebo-controlled study. Diabetes Research & 
Clinical Practice 83: 371-8. 
",,,,,,,
CG173ST2,"Arbaiza D, Vidal O (2007) Tramadol in the treatment of neuropathic cancer 
pain: a double-blind, placebo-controlled study. Clinical Drug Investigation 27: 
75-83.",,,,,,,
CG173ST3,"Arezzo JC, Rosenstock J, Lamoreaux L et al. (2008) Efficacy and safety of 
pregabalin 600 mg/d for treating painful diabetic peripheral neuropathy: a 
double-blind placebo-controlled trial. BMC Neurology 8: 33. 
",,,,,,,
CG173ST4,"Backonja M, Beydoun A, Edwards KR et al. (1998) Gabapentin for the 
symptomatic treatment of painful neuropathy in patients with diabetes mellitus. 
A randomized controlled trial. Journal of the American Medical Association 
280: 1831-6.",,,,,,,
CG173ST5,"Backonja M, Wallace MS, Blonsky ER et al. (2008) NGX-4010, a high-concentration capsaicin patch, for the treatment of postherpetic neuralgia: a randomised, double-blind study. The Lancet Neurology 7: 1106-12.",,,,,,,
CG173ST6,"Bansal D, Bhansali A, Hota D et al. (2009) Amitriptyline vs. pregabalin in 
painful diabetic neuropathy: a randomized double blind clinical trial. Diabetic 
Medicine 26: 1019-26.",,,,,,,
CG173ST7,"Beniczky S, Tajti J, Timea VE et al. (2005) Evidence-based pharmacological 
treatment of neuropathic pain syndromes. Journal of Neural Transmission 
112: 73549. 
",,,,,,,
CG173ST8,"Bernstein JE, Korman NJ, Bickers DR et al. (1989) Topical capsaicin 
treatment of chronic postherpetic neuralgia. Journal of the American Academy 
of Dermatology 21: 265-70",,,,,,,
CG173ST9,"Beydoun A, Shaibani A, Hopwood M et al. (2006) Oxcarbazepine in painful 
diabetic neuropathy: results of a dose-ranging study. Acta Neurologica 
Scandinavica 113: 395-404. 
",,,,,,,
CG173ST10,"Biesbroeck R, Bril V, Hollander P et al. (1995) A double-blind comparison of 
topical capsaicin and oral amitriptyline in painful diabetic neuropathy. 
Advances in Therapy 12: 111-20.",,,,,,,
CG173ST11,"Bone M, Critchley P, Buggy DJ (2002) Gabapentin in postamputation 
phantom limb pain:",,,,,,,
CG173ST12,"Bouhassira D, Lanteri-Minet M, Attal N et al (2008) Prevalence of chronic pain 
with neuropathic characteristics in the general population. Pain 136:380387.",,,,,,,
CG173ST13,"Boureau F, Legallicier P, Kabir-Ahmadi M (2003) Tramadol in post-herpetic 
neuralgia: a randomized, double-blind, placebo-controlled trial. Pain 104: 323-
31 A randomized ",,,,,,,
CG173ST14,"Bowsher D (1997) The effects of pre-emptive treatment of postherpetic neuralgia with amitriptyline: a randomized, double-blind, placebo-controlled trial. Journal of Pain & Symptom Management 13: 327-31.",,,,,,,
CG173ST15,"Breuer B, Pappagallo M, Knotkova H et al. (2007) A randomized, double-blind, placebo-controlled, two-period, crossover, pilot trial of lamotrigine in patients with central pain due to multiple sclerosis. Clinical Therapeutics 29: 2022-30. ",,,,,,,
CG173ST16,"Cardenas DD, Warms CA, Turner JA et al. (2002) Efficacy of amitriptyline for relief of pain in spinal cord injury: results of a randomized controlled trial. Pain 96: 365-73. ",,,,,,,
CG173ST17,"Chandra K, Shafiq N, Pandhi P et al. (2006) Gabapentin versus nortriptyline in post-herpetic neuralgia patients: a randomized, double-blind clinical trial--the GONIP Trial. International Journal of Clinical Pharmacology & Therapeutics 44: 358-63.",,,,,,,
CG173ST18,"Cheville AL, Sloan JA, Northfelt DW et al. (2009) Use of a lidocaine patch in the management of postsurgical neuropathic pain in patients with cancer: a phase III double-blind crossover study (N01CB). Supportive Care in Cancer 17: 451-60. ",,,,,,,
CG173ST19,"Clifford DB, Simpson DM, Brown S et al. (2012) A randomized, double-blind, controlled study of NGX-4010, a capsaicin 8% dermal patch, for the treatment of painful HIV-associated distal sensory polyneuropathy. Journal of Acquired Immune Deficiency Syndromes: JAIDS 59: 126-33. ",,,,,,,
CG173ST20,"Davidoff G, Guarracini M, Roth E et al. (1987) Trazodone hydrochloride in the treatment of dysesthetic pain in traumatic myelopathy: a randomized, double-blind, placebo-controlled study. Pain 29: 151-61. ",,,,,,,
CG173ST21,"Dieleman JP, Kerklaan J, Huygen FJ et al. (2008) Incidence rates and treatment of neuropathic pain conditions in the general population. Pain 31: 137: 6818. ",,,,,,,
CG173ST22,"Dogra S, Beydoun S, Mazzola J et al. (2005) Oxcarbazepine in painful diabetic neuropathy: a randomized, placebo-controlled study. European journal of pain (London, England) 9: 543-54. ",,,,,,,
CG173ST23,"Donofrio P, Capsaicin study group (1992) Effect of treatment with capsaicin on daily activities of patients with painful diabetic neuropathy. Diabetes Care 15: 159-65. ",,,,,,,
CG173ST24,"Dworkin RH, Turk DC, Farrar JT, et al (2005) Core outcome measures for chronic pain clinical trials: IMMPACT recommendations. Pain 113:919. ",,,,,,,
CG173ST25,"Dworkin RH, Corbin AE, Young JP, Jr. et al. (2003) Pregabalin for the treatment of postherpetic neuralgia: a randomized, placebo-controlled trial.[see comment]. Neurology 60: 1274-83. ",,,,,,,
CG173ST26,"Eisenberg E, Lurie Y, Braker C et al. (2001) Lamotrigine reduces painful diabetic neuropathy: a randomized, controlled study. Neurology 57: 505-9.",,,,,,,
CG173ST27,"Falah M, Madsen C, Holbech JV et al. (2012) A randomized, placebo-controlled trial of levetiracetam in central pain in multiple sclerosis. European Journal of Pain 16: 860-9. ",,,,,,,
CG173ST28,"Finnerup NB, Sindrup SH, Bach FW et al. (2002) Lamotrigine in spinal cord injury pain: a randomized controlled trial. Pain 96: 375-83. ",,,,,,,
CG173ST29,"Finnerup NB, Sindrup SH, Bach FW et al. (2009) Lamotrigine in spinal cord injury pain: a randomized controlled trial. Spinal Cord 47: 861-7. ",,,,,,,
CG173ST30,"Freynhagen R, Strojek K, Griesing T et al. (2005) Efficacy of pregabalin in neuropathic pain evaluated in a 12-week, randomised, double-blind, multicentre, placebo-controlled trial of flexible- and fixed-dose regimens. Pain 115: 254-63. ",,,,,,,
CG173ST31,"Gao Y, Ning G, Jia WP et al. (2010) Duloxetine versus placebo in the treatment of patients with diabetic neuropathic pain in China. Chinese Medical Journal 123: 3184-92. ",,,,,,,
CG173ST32,"Gilron I, Bailey J.M., Tu D et al. (2012) Nortriptyline and gabapentin, alone and in combination for neuropathic pain: a double-blind, randomised controlled crossover trial. Lancet 374: 1252-61. ",,,,,,,
CG173ST33,"Gimbel JS, Richards P, Portenoy RK (2003) Controlled-release oxycodone for pain in diabetic neuropathy: a randomized controlled trial.[see comment]. Neurology 60: 927-34. ",,,,,,,
CG173ST34,"Goldstein DJ, Lu Y, Detke MJ et al. (2005) Duloxetine vs. placebo in patients with painful diabetic neuropathy. Pain 116: 109-18. ",,,,,,,
CG173ST35,"Gordh TE, Stubhaug A, Jensen TS et al. (2008) Gabapentin in traumatic nerve injury pain: a randomized, double-blind, placebo-controlled, cross-over, multi-center study. Pain 138: 255-66. ",,,,,,,
CG173ST36,"Graff-Radford SB, Shaw LR, Naliboff BN (2000) Amitriptyline and fluphenazine in the treatment of postherpetic neuralgia. Clinical Journal of Pain 16: 188-92. Neuropathic pain  pharmacological management: NICE clinical guideline 173 (November 2013) Page 102 of 138 ",,,,,,,
CG173ST37,"Grosskopf J, Mazzola J, Wan Y et al. (2006) A randomized, placebo-controlled study of oxcarbazepine in painful diabetic neuropathy. Acta Neurologica Scandinavica 114: 177-80. ",,,,,,,
CG173ST38,"Guan Y, Ding X, Cheng Y et al. (2011) Efficacy of pregabalin for peripheral neuropathic pain: results of an 8-week, flexible-dose, double-blind, placebo-controlled study conducted in China. Clinical Therapeutics 33: 159-66. ",,,,,,,
CG173ST39,"Hahn K, Arendt G, Braun JS et al. (2004) A placebo-controlled trial of gabapentin for painful HIV-associated sensory neuropathies. Journal of Neurology 251: 1260-6. ",,,,,,,
CG173ST40,"Hanna M, O'Brien C, Wilson MC (2008) Prolonged-release oxycodone enhances the effects of existing gabapentin therapy in painful diabetic neuropathy patients. European Journal of Pain 12: 804-13. ",,,,,,,
CG173ST41,"Harati Y, Gooch C, Swenson M et al. (1998) Double-blind randomized trial of tramadol for the treatment of the pain of diabetic neuropathy.[see comment]. Neurology 50: 1842-6. ",,,,,,,
CG173ST42,"Holbech J.V., Otto M., Bach FW et al. (2011) The anticonvulsant levetiracetam for the treatment of pain in polyneuropathy: a randomized, placebo-controlled, cross-over trial. European Journal of Pain: Ejp 15: 608-14. ",,,,,,,
CG173ST43,"Huse E, Larbig W, Flor H et al. (2001) The effect of opioids on phantom limb pain and cortical reorganization. Pain 90: 47-55. ",,,,,,,
CG173ST44,International Association for the Study of Pain (2007) IASP taxonomy [online; accessed 30 April 20139] ,,,,,,,
CG173ST45,"Irving GA, Backonja MM, Dunteman E et al. (2011) A Multicenter, Randomized, Double-Blind, Controlled Study of NGX-4010, a High-Concentration Capsaicin Patch, for the Treatment of Postherpetic Neuralgia. Pain Medicine 12: 99-109. Neuropathic pain  pharmacological management: NICE clinical guideline 173 (November 2013) Page 103 of 138 ",,,,,,,
CG173ST46,"Jensen TS, Backonja MM, Hernandez Jimenez S et al. (2006) New perspectives on the management of diabetic peripheral neuropathic pain. Diabetes & Vascular Disease Research 3: 10819. ",,,,,,,
CG173ST47,"Jung BF, Johnson RW, Griffin DR et al. (2004) Risk factors for postherpetic neuralgia in patients with herpes zoster. Neurology 62: 154551. ",,,,,,,
CG173ST48,"Kalso E, Tasmuth T, Neuvonen PJ (1996) Amitriptyline effectively relieves neuropathic pain following treatment of breast cancer. Pain 64: 293-302. ",,,,,,,
CG173ST49,"Kautio AL, Haanpaa M, Saarto T et al. (2008) Amitriptyline in the treatment of chemotherapy-induced neuropathic symptoms. Journal of Pain & Symptom Management 35: 31-9. ",,,,,,,
CG173ST50,"Kehlet H, Jensen TS, Woolf CJ (2006) Persistent postsurgical pain: risk factors and prevention. Lancet 367: 161825. ",,,,,,,
CG173ST51,"Khoromi S., Patsalides A., Parada S et al. (2005) Topiramate in Chronic Lumbar Radicular Pain. The Journal of Pain 6: 829-36. ",,,,,,,
CG173ST52,"Khoromi S, Cui L, Nackers L et al. (2007) Morphine, nortriptyline and their combination vs. placebo in patients with chronic lumbar root pain. Pain 130: 66-75. ",,,,,,,
CG173ST53,"Kieburtz K, Simpson D, Yiannoutsos C et al. (1998) A randomized trial of amitriptyline and mexiletine for painful neuropathy in HIV infection. AIDS Clinical Trial Group 242 Protocol Team. Neurology 51: 1682-8. ",,,,,,,
CG173ST54,"Kim JS, Bashford G, Murphy TK et al. (2011) Safety and efficacy of pregabalin in patients with central post-stroke pain. Pain 152: 1018-23. ",,,,,,,
CG173ST55,"Kochar DK, Garg P, Bumb RA et al. (2005) Divalproex sodium in the management of post-herpetic neuralgia: A randomized double-blind placebo-controlled study. QJM - Monthly Journal of the Association of Physicians 98: 29-34. Neuropathic pain  pharmacological management: NICE clinical guideline 173 (November 2013) Page 104 of 138 ",,,,,,,
CG173ST56,"Kochar DK, Jain N, Agarwal RP et al. (2002) Sodium valproate in the management of painful neuropathy in type 2 diabetes - a randomized placebo controlled study.[see comment]. Acta Neurologica Scandinavica 106: 248-52. ",,,,,,,
CG173ST57,"Kochar DK, Rawat N, Agrawal RP et al. (2004) Sodium valproate for painful diabetic neuropathy: a randomized double-blind placebo-controlled study. QJM : monthly journal of the Association of Physicians 97: 33-8. ",,,,,,,
CG173ST58,"Leijon G, Boivie J (1989) Central post-stroke pain--a controlled trial of amitriptyline and carbamazepine. Pain 36: 27-36. ",,,,,,,
CG173ST59,"Lesser H, Sharma U, Lamoreaux L et al. (2004) Pregabalin relieves symptoms of painful diabetic neuropathy: a randomized controlled trial. Neurology 63: 2104-10. ",,,,,,,
CG173ST60,"Levendoglu F, Ogun CO, Ozerbil O et al. (2004) Gabapentin is a first line drug for the treatment of neuropathic pain in spinal cord injury. Spine 29: 743-51. ",,,,,,,
CG173ST61,"Low PA, Opfer-Gehrking TL, Dyck PJ et al. (1995) Double-blind, placebo-controlled study of the application of capsaicin cream in chronic distal painful polyneuropathy. Pain 62: 163-8. ",,,,,,,
CG173ST62,"Luria Y, Brecker C, Daoud D et al. (2000) Lamotrigine in the treatment of painful diabetic neuropathy: A randomized, placebo-controlled study. Progress in Pain Research and Management 16: 857-62. ",,,,,,,
CG173ST63,"Max MB, Schafer SC, Culnane M et al. (1988) Amitriptyline, but not lorazepam, relieves postherpetic neuralgia. Neurology 38: 1427-32. ",,,,,,,
CG173ST64,McCarberg B (2006) Pharmacotherapy for neuropathic pain: The old and the new. Advanced Studies in Medicine 6: 399408. ,,,,,,,
CG173ST65,"McCleane G (1999) 200 mg daily of lamotrigine has no analgesic effect in neuropathic pain: a randomised, double-blind, placebo controlled trial.[see comment]. Pain 83: 105-7. ",,,,,,,
CG173ST66,"McCleane G (2000) Topical application of doxepin hydrochloride, capsaicin and a combination of both produces analgesia in chronic human neuropathic Neuropathic pain  pharmacological management: NICE clinical guideline 173 (November 2013) Page 105 of 138 ",,,,,,,
CG173ST67,"Mikkelsen T, Werner MU, Lassen B et al. (2004) Pain and sensory dysfunction 6 to 12 months after inguinal herniotomy. Anesthesia Analgesia 99: 14651. ",,,,,,,
CG173ST68,"Mishra S, Bhatnagar S, Goyal GN et al. (2012) A comparative efficacy of amitriptyline, gabapentin, and pregabalin in neuropathic cancer pain: a prospective randomized double-blind placebo-controlled study. American Journal of Hospice & Palliative Medicine 29: 177-82. ",,,,,,,
CG173ST69,"Moon DE, Lee DI, Lee SC et al. (2010) Efficacy and tolerability of pregabalin using a flexible, optimized dose schedule in Korean patients with peripheral neuropathic pain: a 10-week, randomized, double-blind, placebo-controlled, multicenter study. Clinical Therapeutics 32: 2370-85. ",,,,,,,
CG173ST70,"Moore RA, Edwards JE, McQuay HJ (2005) Acute pain: individual patient meta-analysis shows the impact of different ways of analysing and presenting results. Pain 116: 32231. ",,,,,,,
